10000001,
10000002,"Welcome to
<highlight>Voice of Cards</highlight>."
10000011,
10000012,You are about to take the first steps of your adventure.
10000021,
10000022,"Through a realm of sword and sorcery you will travel, battling bloodthirsty monsters as you strive to realize your <highlight>ambitions</highlight>."
10000031,
10000032,I have every faith you will accomplish great things here.
10000041,And You Are...?
10000042,I? I am merely a witness to your exploits.
10000051,Who Might You Be?
10000052,I? I am merely a witness to your exploits.
10000061,
10000062,"One last thing:
It's my job to read the cards out loud to you, so every now and then my voice will cut in."
10000071,
10000072,"But if you play with the volume off, you won't hear a word I say."
10000081,
10000082,"For the most immersive experience, I suggest either playing with either the volume or the subtitles on."
10000091,
10000092,"Would you like to display the subtitles?
Remember, you can always change these settings later in Options."
10000101,Display Subtitles
10000102,Subtitles will display.
10000111,Don't Display Subtitles
10000112,Subtitles will not display.
10000121,
10000122,"Remember, you can always change these settings later in Options."
10000131,
10000132,"Now then, your departure draws nigh. May your journey be a safe one..."
10000141,Dank Cave
10000142,We begin in a cave. The surrounding rocks are slimy with damp. It feels as if some foul creature could leap out from the shadows at any moment.
10000151,Dank Cave
10000152,Yet in this horrible place gathers a fellowship of three adventurers.
10000161,Young Woman
10000162,One is a young woman. You can tell just by looking at her she enjoyed a good upbringing.
10000171,Stern Man
10000172,"Another is a stoic warrior. He stands at the ready, scanning his surroundings for any sign of threat."
10000181,Ponderous Elder
10000182,"Last, but not least, is the old man. He has a sagely air, and gazes into the darkness stretching out before him."
10000191,The White-Robed Adventurers
10000192,These adventurers seek a certain <highlight>treasure</highlight> hidden in this cave.
10000201,Door
10000202,The adventurers cannot leave without finding that treasure.
10000211,A Heavy Door
10000212,An iron door towers before you. It has rather conspicuous handles.
10000221,A Heavy Door
10000222,What will you do?
10000231,Push the Door's Handle
10000232,"The stoic man takes hold of the handles and pushes as hard as he can...

But the door doesn't so much as budge."
10000241,Pull on the Door's Handle
10000242,"The stoic man takes hold of the handles and pulls as hard as he can...

But the door doesn't so much as budge."
10000251,Stern Man
10000252,The stoic man winds his leg back and lets fly a powerful kick into the door.
10000261,Heavy Door
10000262,"As his foot connects, the door trundles to the side. So it was one of those sliding contraptions..."
10000271,Dank Cave
10000272,Something leaps out at the fellowship from the darkness!
10000281,The White-Robed Adventurers
10000282,These adventurers have seen their fair share of battle and defeat their attackers with ease.
10000291,The White-Robed Adventurers
10000292,"As the trio approaches the treasure chest, an awful rumbling resounds deep in the cave..."
10000301,The Groan
10000302,"""You shall not have it,"" a voice growls."
10000311,The White-Robed Adventurers
10000312,Before the wary trio appear creatures the likes of which they've never seen.
10000321,Young Woman
10000322,The young woman edges around the monster's bulk to stand before the treasure chest.
10000331,Chest
10000332,"There is <highlight>treasure</highlight> inside, no doubt about it...but it's locked tight."
10000341,Chest
10000342,There's got to be some way of opening it.
10000351,Chest
10000352,The woman tries pouring medicine on the chest. I shouldn't have to explain why that doesn't work.
10000361,Chest
10000362,The woman withdraws a tool that looks nothing like a key. Spoilers: it doesn't open the lock.
10000371,Chest
10000372,The woman slides the <highlight>{CARDNAME:51002}</highlight> into the lock; the chest clicks open.
10000381,Chest
10000382,"His patience with the woman's antics exhausted, the old man uses the <highlight>{CARDNAME:51002}</highlight> to open the chest."
10000391,Medicine (?)
10000392,Inside is what appears for all the world to be an ordinary medicine bottle.
10000401,Ponderous Elder
10000402,"""At last we've retrieved the <highlight>royal treasure</highlight>,"" the old man says. The woman and warrior exchange a nod."
10000411,
10000412,The white-robed adventurers found the <highlight>royal treasure</highlight>!
10000421,The White-Robed Adventurers
10000422,"Their quest complete, the triumphant trio put the cave behind them."
10000431,Castle Advent Royal Hall
10000432,"This is Castle Advent.
{CARDNAME:2010} reigns over the kingdom from within its walls."
10000441,Castle Advent Royal Hall
10000442,"In the crowded audience chamber jostle all manner of knights, adventurers, and bounty hunters."
10000451,Castle Advent Royal Hall
10000452,The white-robed adventurers stand close to the throne.
10000461,Royal Guard
10000462,"A palace guard calls over the tumult: ""Be silent. Her Royal Majesty graces us with her presence."""
10000471,Castle Advent Royal Hall
10000472,The cacophony ceases the moment {CARDNAME:2010} enters the chamber.
10000481,{CARDNAME:2010}
10000482,"Seated upon the throne, the queen faces the crowd. Her lips part."
10000491,{CARDNAME:2010}
10000492,"""Thank you all for heeding my call to slay the {CARDNAME:4010}."""
10000501,{CARDNAME:2010}
10000502,"""Whatever it takes to defeat this reawakened evil, I ask that you do it."""
10000511,{CARDNAME:2010}
10000512,"""Whomsoever conquers this beast will be honored for ages to come and <highlight>handsomely rewarded</highlight>."""
10000521,Castle Advent Royal Hall
10000522,"At that, the gathered crowd cheers loud enough to shake the castle's very foundations."
10000531,The White-Robed Adventurers
10000532,"""Leave the {CARDNAME:4010} to us, Your Majesty,"" say the white-robed adventurers, as if the beast's demise at their hands is assured."
10000541,{CARDNAME:2010}
10000542,"""Indeed, you did well to reclaim the <highlight>royal treasure</highlight>,"" the queen replies."
10000551,{CARDNAME:2010}
10000552,"""I thank you, for my stomach becomes most upset without it."" So the treasure is a staple of the royal medicine cabinet..."
10000561,{CARDNAME:2010}
10000562,"""It puts my mind at ease to know <highlight>the Ivory Order</highlight> offers its aid in slaying the {CARDNAME:4010}."""
10000571,The Ivory Order Trio
10000572,"The trio are disciples of <highlight>the Ivory Order</highlight>, a charitable organization beloved the realm over."
10000581,The Ivory Order Trio
10000582,"Indeed, anyone would think this illustrious trio the heroes of our tale."
10000591,The Ivory Order Trio
10000592,But they'd be wrong.
10000601,Strange Man
10000602,"""So we just gotta slay the {CARDNAME:4010} and we'll be drowning in gold..."" The man trails off, drooling over unknowable fantasies."
10000611,Strange Creature
10000612,Beside him a strange creature lets out a chirping coo.
10000621,Strange Man
10000622,"There he is—or, there you are, I should say—the <highlight>hero of our tale</highlight>."
10000631,Strange Man
10000632,"A humble bounty hunter, you love little in this realm more than coin."
10000641,Strange Man
10000642,"A seemingly tedious fellow who doesn't hesitate to claim the title of ""hero"" for yourself."
10000651,The Would-Be Hero
10000652,"When you heard about the quest to slay the {CARDNAME:4010}, it was the promise of reward that lured you to the castle."
10000661,Royal Guard
10000662,"""Now then, if you wish to officially register for the hunt, see me so I can get your signature."""
10000671,The Would-Be Hero
10000672,"You wonder why you need to sign anything, but head for the guard anyway."
10000681,Castle Advent Royal Hall
10000682,You haven't yet registered for the quest to slay the {CARDNAME:4010}. Go see the guard near the queen.  
10000691,The Ivory Order Trio
