0,30,0,,,,ca-01_img_card_text-01-01,ca-01_img_card_text-01_gold@ca-01_mtr_card_bronze,ca_card_reverse,,0
1,30,0,,,,ca-01_img_card_text-01-02,ca-01_img_card_text-01_gold@ca-01_mtr_card_bronze,ca_card_reverse,,0
2,47,0,,,,ca-01_img_card_text-01-04,ca-01_img_card_text-01_gold@ca-01_mtr_card_bronze,ca_card_reverse,,0
10,31,0,,,,ca-01_img_card_text-02-01,ca-01_img_card_text-02_gold@ca-01_mtr_card_bronze,ca_card_reverse,,0
11,31,0,,,,ca-01_img_card_text-02-02,ca-01_img_card_text-02_gold@ca-01_mtr_card_bronze,ca_card_reverse,,0
12,48,0,,,,ca-01_img_card_text-02-03,ca-01_img_card_text-02_gold@ca-01_mtr_card_bronze,ca_card_reverse,,0
21,31,0,,,,ca-01_img_card_playername,ca-01_img_card_playername_gold@ca-01_mtr_card_bronze,ca_card_reverse,,0
30,30,0,,,,ca-01_img_card_text-05-01,ca-01_img_card_text-05-01_gold@ca-01_mtr_card_bronze,ca_card_reverse,,0
31,39,0,,,,ca-01_img_card_text-05-02,ca-01_img_card_text-05-02_gold@ca-01_mtr_card_bronze,ca_card_reverse,,0
32,30,0,,,,ca-01_img_card_text-01-02,ca-01_img_card_text-01_gold@ca-01_mtr_card_bronze,ca_card_reverse,,0
33,30,0,,,,ca-01_img_card_text-05-01,ca-01_img_card_text-05-01_gold@ca-01_mtr_card_bronze,ca_card_reverse,,0
34,39,0,,,,ca-01_img_card_text-05-04,ca-01_img_card_text-05-02_gold@ca-01_mtr_card_bronze,ca_card_reverse,,0
40,44,0,40,40,,ca-01_img_card_equipchara,ca-01_img_card_equipchara_gold@ca-01_mtr_card_bronze,ca_card_reverse,,0
50,30,0,50,,,ca-01_img_card_text-01-02,ca-01_img_card_text-01_gold@ca-01_mtr_card_bronze,ca_card_reverse,,0
1010,1,0,,,,ca-01_img_card_chara-001,ca-01_img_card_chara-001_gold@ca-01_mtr_card_gold,ca_card_reverse,,0
1011,1,0,,,,ca-01_img_card_chara-001-bk,,ca_card_reverse,,0
1012,1,0,1010,,,ca-01_img_card_chara-001,ca-01_img_card_chara-001_gold@ca-01_mtr_card_gold,ca_card_reverse,,0
1020,1,0,,,,ca-01_img_card_chara-002,ca-01_img_card_chara-002_gold@ca-01_mtr_card_gold,ca_card_reverse,,0
1021,1,0,,,,ca-01_img_card_chara-002-bk,,ca_card_reverse,,0
1022,1,0,1020,,,ca-01_img_card_chara-002,ca-01_img_card_chara-002_gold@ca-01_mtr_card_gold,ca_card_reverse,,0
1023,1,0,,,,ca-01_img_card_chara-002,ca-01_img_card_chara-002_gold@ca-01_mtr_card_gold,ca-01_img_card_chara-002-2,ca-01_img_card_chara-002-2_gold@ca-01_mtr_card_gold,1
1024,1,0,,,,ca-01_img_card_chara-002-2,ca-01_img_card_chara-002-2_gold@ca-01_mtr_card_gold,ca_card_reverse,,0
1030,1,0,,,,ca-01_img_card_chara-003,ca-01_img_card_chara-003_gold@ca-01_mtr_card_gold,ca_card_reverse,,0
1031,1,0,,,,ca-01_img_card_chara-003-bk,,ca_card_reverse,,0
1032,1,0,1030,,,ca-01_img_card_chara-003,ca-01_img_card_chara-003_gold@ca-01_mtr_card_gold,ca_card_reverse,,0
1033,1,0,,,,ca-01_img_card_chara-003-2,ca-01_img_card_chara-003-2_gold@ca-01_mtr_card_gold,ca_card_reverse,,0
1034,1,0,1030,,,ca-01_img_card_chara-003-2,ca-01_img_card_chara-003-2_gold@ca-01_mtr_card_gold,ca_card_reverse,,0
1035,1,0,,,,ca-01_img_card_chara-003,ca-01_img_card_chara-003_gold@ca-01_mtr_card_gold,ca-01_img_card_chara-003-3,ca-01_img_card_chara-003-3_gold@ca-01_mtr_card_gold,1
1036,1,0,,,,ca-01_img_card_chara-003-3,ca-01_img_card_chara-003-3_gold@ca-01_mtr_card_gold,ca_card_reverse,,0
1037,1,0,,,,ca-01_img_card_chara-003,ca-01_img_card_chara-003_gold@ca-01_mtr_card_gold,ca-01_img_card_chara-003-2,ca-01_img_card_chara-003-2_gold@ca-01_mtr_card_gold,1
1040,1,0,,,,ca-01_img_card_chara-004,ca-01_img_card_chara-004_gold@ca-01_mtr_card_gold,ca_card_reverse,,0
1041,1,0,,,,ca-01_img_card_chara-004-bk,,ca_card_reverse,,0
1042,1,0,1040,,,ca-01_img_card_chara-004,ca-01_img_card_chara-004_gold@ca-01_mtr_card_gold,ca_card_reverse,,0
1043,1,0,,,,ca-01_img_card_chara-004,ca-01_img_card_chara-004_gold@ca-01_mtr_card_gold,ca-01_img_card_chara-004-bk,,1
1050,1,0,,,,ca-01_img_card_chara-005,ca-01_img_card_chara-005_gold@ca-01_mtr_card_gold,ca_card_reverse,,0
1051,1,0,,,,ca-01_img_card_chara-005_bk,,ca_card_reverse,,0
1052,1,0,1050,,,ca-01_img_card_chara-005,ca-01_img_card_chara-005_gold@ca-01_mtr_card_gold,ca_card_reverse,,0
1053,1,0,,,,ca-01_img_card_chara-005,ca-01_img_card_chara-005_gold@ca-01_mtr_card_gold,ca-01_img_card_chara-005_bk,,1
1110,1,0,,,,ca-01_img_card_chara-011,ca-01_img_card_chara-011_gold@ca-01_mtr_card_gold,ca_card_reverse,,0
1111,1,0,,,,ca-01_img_card_chara-011-bk,,ca_card_reverse,,0
1112,1,0,1110,,,ca-01_img_card_chara-011,ca-01_img_card_chara-011_gold@ca-01_mtr_card_gold,ca_card_reverse,,0
1113,1,0,1111,,,ca-01_img_card_chara-011,ca-01_img_card_chara-011_gold@ca-01_mtr_card_gold,ca_card_reverse,,0
1114,1,0,,,,ca-01_img_card_chara-011,ca-01_img_card_chara-011_gold@ca-01_mtr_card_gold,ca-01_img_card_chara-011-bk,,1
1120,1,0,,,,ca-01_img_card_chara-012,ca-01_img_card_chara-012_gold@ca-01_mtr_card_gold,ca_card_reverse,,0
1121,1,0,,,,ca-01_img_card_chara-012-bk,,ca_card_reverse,,0
1122,1,0,1120,,,ca-01_img_card_chara-012,ca-01_img_card_chara-012_gold@ca-01_mtr_card_gold,ca_card_reverse,,0
